pid,artist_name,track_name
0,Missy Elliott,Lose Control (feat. Ciara & Fat Man Scoop)
0,Britney Spears,Toxic
0,Justin Timberlake,Rock Your Body
0,Shaggy,It Wasn't Me
0,Usher,My Boo
0,The Pussycat Dolls,Buttons
0,Destiny's Child,Say My Name
0,Nelly Furtado,Promiscuous
0,Cassie,Me & U
0,Avril Lavigne,Sk8er Boi
0,Destiny's Child,"Jumpin', Jumpin'"
0,Sheryl Crow,Soak Up The Sun
0,Jason Derulo,Whatcha Say
0,Ne-Yo,Miss Independent
0,Miley Cyrus,Party In The U.S.A.
0,Chris Brown,Forever
0,Kesha,Your Love Is My Drug
0,Ne-Yo,Closer
0,M.I.A.,Paper Planes
0,The Killers,Mr. Brightside
0,blink-182,All The Small Things
0,The Pussycat Dolls,Beep
0,The All-American Rejects,Dirty Little Secret
0,Justin Bieber,Baby
0,Avril Lavigne,My Happy Ending
1,Survivor,Eye of the Tiger
1,Leslie Odom Jr.,The Room Where It Happens
1,Leslie Odom Jr.,Alexander Hamilton
1,Lin-Manuel Miranda,My Shot
1,The Rolling Stones,Gimme Shelter
1,Lynyrd Skynyrd,Free Bird
1,Boston,Peace of Mind
1,Boston,Foreplay / Long Time
1,Kansas,Carry on Wayward Son
1,Queen,Bohemian Rhapsody - Remastered 2011
1,Lynyrd Skynyrd,Sweet Home Alabama
1,Boston,More Than a Feeling
1,Guns N' Roses,Sweet Child O' Mine
1,Creedence Clearwater Revival,Fortunate Son
1,Scorpions,Rock You Like A Hurricane
1,Rush,Tom Sawyer
1,Rush,Red Barchetta
1,Rush,YYZ
1,Rush,Limelight
2,Jay Park,Me Like Yuh
2,BIGBANG,LAST DANCE
2,BIGBANG,FXXK IT
2,BLACKPINK,As If It's Your Last
2,TAEYANG,Wedding Dress
2,EXO,Ko Ko Bop
3,Steve Lacy,C U Girl
3,Cigarettes After Sex,Nothing's Gonna Hurt You Baby
3,The Kooks,Sweet Emotion
4,Oasis,Wonderwall - Remastered
4,TLC,Waterfalls
4,Toni Braxton,Breathe Again
4,Sarah McLachlan,Angel
4,The Verve,Bitter Sweet Symphony
4,Dido,White Flag
5,Miley Cyrus,Party In The U.S.A.
